 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês processamento
Caráter atendimento: Outros tipo de acidente de trânsito
Período:Jan/2008-Mar/2021
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"11 Rondônia";6350,45;36007,43;5984,81;7715,54;1586,69;231,07;13347,75;17492,35;16142,53;19768,45;9441,71;2179,79;25421,79;29867,90;13662,48;12282,22;23801,11;31150,49;33202,58;36208,43;48280,92;25170,27;60989,65;27596,62;16714,84;33429,09;50119,65;27724,56;40921,22;146944,90;104957,05;114882,55;115419,84;60538,33;89489,92;73395,87;27776,12;34708,16;18979,92;2144,63;151,67;-;2398,64;5451,53;16639,63;20084,51;19755,60;21941,83;32409,21;25305,74;11410,44;8271,53;10617,45;15703,73;29397,74;4939,02;2897,50;1748,55;68493,54;22574,28;3823,76;20693,51;35292,17;27690,78;57022,69;44167,96;52640,27;32127,45;92734,77;89441,24;100607,49;64143,88;45593,32;64581,22;100647,72;116987,97;77465,67;95132,39;72818,42;158023,07;110735,87;69635,80;30063,57;224626,43;158232,96;29951,39;64382,15;79182,69;89967,35;81141,53;128210,89;9141,80;52757,90;127981,01;14616,87;38218,47;76882,07;156583,09;63687,08;120879,39;63568,71;54959,81;176857,35;199440,86;135438,16;106845,36;85898,43;126253,61;159255,83;69729,74;177403,72;72981,21;66731,36;42055,89;56359,43;83681,11;71990,70;117284,13;178382,70;101422,77;104543,26;147053,00;124137,33;98975,60;128052,56;87473,97;154956,08;162285,55;53742,05;153449,68;183734,50;82332,03;116876,68;127359,93;85314,89;54235,64;70999,42;24347,76;136744,38;189172,27;59037,86;85547,71;137952,75;46552,75;92799,97;46163,33;21895,64;12807,43;14650,90;13566,22;70764,06;118866,36;122247,19;150242,42;281969,11;212633,38;110326,67;122833,73;62978,68;11076899,50
"12 Acre";-;538,12;835,35;209,35;227,88;1942,07;1066,16;613,92;1563,78;476,40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5819,29;-;-;449,10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13741,42
"13 Amazonas";3966,21;4079,07;2293,35;92093,17;2105,89;315,76;2543,04;-;38183,79;6741,14;182,47;-;114,44;-;-;-;-;329,25;223,33;266,10;-;-;-;-;-;-;-;-;-;-;-;-;-;398,66;-;-;-;-;-;223,33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289,29;-;-;-;-;613,61;141,04;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;208,25;-;664,29;-;165,99;-;-;-;-;-;-;-;-;-;-;405,15;-;-;-;-;215,33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;156761,95
"14 Roraima";-;-;-;-;-;390,74;-;-;-;-;-;-;-;-;-;-;-;-;-;-;199,33;-;-;-;398,66;199,33;-;-;-;-;199,33;199,33;-;398,66;398,66;-;-;-;199,33;597,99;-;-;199,33;-;-;199,33;398,66;398,66;-;199,33;-;199,33;-;-;398,66;-;199,33;199,33;398,66;-;-;398,66;-;199,33;-;-;199,33;-;199,33;597,99;398,66;-;-;398,66;-;-;199,33;-;-;-;-;-;-;-;-;-;398,66;-;-;-;199,33;-;-;-;846,36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;738,42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10746,04
"15 Pará";198087,27;64321,59;49655,84;30681,42;33153,08;38463,40;9570,07;34360,62;40573,68;57454,29;60388,73;60348,80;133749,20;77074,76;46846,77;23796,23;18602,83;23368,31;30570,18;72727,95;23872,28;28391,54;27270,51;29754,99;26116,84;21427,04;34322,01;18427,60;42826,02;23048,46;27741,46;31595,39;25081,38;44012,06;27992,89;39070,95;25447,35;18146,78;7361,47;75620,69;11180,33;39457,83;34768,49;71161,23;26662,01;50112,49;53220,80;39838,71;14172,20;49734,81;15698,02;31712,98;27547,45;55159,99;41664,21;18779,69;35445,21;27184,44;37065,47;47600,14;50526,89;10728,78;17159,55;51080,95;33684,01;26542,14;23055,33;27829,35;33210,85;41405,52;39728,22;23541,80;12948,99;27309,70;42425,61;20451,47;33147,21;21244,29;8887,04;24951,10;21996,06;43830,98;31220,98;28506,86;11362,39;37254,93;16536,63;18817,59;33651,83;27061,98;86634,64;43611,10;32089,21;79805,92;21342,94;26888,49;26087,14;31722,65;33738,63;39890,00;32188,84;8625,35;29881,06;43311,10;30105,38;44871,41;28250,46;24040,68;24651,53;12869,36;11134,67;14583,35;7506,41;8762,93;8729,82;22507,87;12241,42;8737,01;11246,15;6396,16;15872,14;36988,94;5071,06;5245,89;21346,48;6169,65;18323,74;26052,37;6899,53;10979,33;6552,30;3715,80;4072,11;3501,15;3654,54;5227,01;5491,06;5891,75;7766,49;30727,65;5809,02;16914,89;9102,51;4888,53;2771,22;3280,83;24721,23;4746,24;7556,44;2623,83;4162,84;25192,43;17063,28;10873,24;10972,32;7649,25;4422,17;3517,14;1515,26;4479371,60
"16 Amapá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;650,22;-;-;-;-;-;-;-;-;-;-;-;-;874,59;-;-;-;-;-;-;257,32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;115,45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;357,38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;199,33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2454,29
"17 Tocantins";55722,28;119486,62;50886,95;10935,31;8109,20;31612,66;70591,88;74198,61;37280,83;61743,50;93547,97;54189,43;98913,67;19652,37;56232,65;61690,04;69266,02;106572,72;62695,47;24673,37;7001,36;30714,86;35753,98;57048,66;50326,64;68012,44;30091,15;29449,61;66147,76;115170,43;163318,20;85433,25;74961,99;66465,37;49858,78;49398,30;73758,06;85451,70;77428,80;43004,75;57287,46;131636,13;112948,15;75565,04;78568,93;106510,29;102958,79;72657,16;97230,36;66965,20;149049,99;46374,42;78865,78;60603,15;77172,91;94000,29;60850,10;71278,45;35793,94;106539,84;77214,94;61437,88;62304,28;72326,97;56926,30;94692,92;178982,04;160223,32;111559,69;62866,60;89178,76;70044,60;93916,91;89894,07;68971,46;59359,82;51499,44;97947,39;67485,51;211262,62;111489,30;142085,72;96983,94;76870,64;110319,54;125731,06;127463,06;123791,65;98237,25;146022,72;101140,92;97631,95;84828,81;132608,37;93494,56;189699,89;114584,11;118518,03;211218,73;120825,49;149151,78;100771,71;235741,75;213507,74;135814,59;67762,56;169629,24;167075,64;116623,31;135789,52;109836,31;63382,05;60458,84;129599,93;95291,13;137247,35;153687,67;29160,88;67739,43;105159,52;109450,62;100015,47;108017,62;38941,63;65523,65;72141,95;61897,71;106790,32;58251,07;88359,14;30594,51;111032,95;60180,77;117707,22;66685,22;58827,24;56105,99;53157,70;67728,40;79914,31;97742,94;80158,41;39229,52;63216,39;35339,79;63800,12;39549,92;69832,18;57823,20;63626,71;68155,69;27191,98;60918,34;76856,08;-;-;-;-;-;13169490,99
"21 Maranhão";-;1202,97;-;10171,36;10924,33;9631,27;24910,33;48403,79;12793,87;-;573,77;-;199,33;-;-;-;1688,30;2933,11;-;21672,23;1231,15;-;16106,74;-;-;-;-;-;962,06;-;-;-;-;-;-;-;-;-;31185,69;1505,33;1792,23;-;-;-;-;-;-;-;-;1176,73;-;2147,03;7578,54;4640,40;18247,94;27861,67;35144,01;13914,43;27111,85;43631,98;36581,34;92264,79;37175,18;24641,64;22929,16;6461,80;32464,03;34651,41;17935,53;12465,49;29185,65;44765,97;165607,07;47832,67;29035,47;39910,61;34533,41;27579,95;42878,42;18602,77;8061,00;29173,45;40865,26;26018,13;7085,24;5580,67;6980,51;12101,53;356,61;2278,45;17134,33;5676,53;6749,39;3937,77;6852,25;2240,60;9234,77;29165,63;9890,94;8221,67;20776,16;43384,78;103058,15;36315,24;70676,76;55101,46;28531,52;27528,66;45254,26;27609,45;45353,49;22195,10;32082,43;36908,26;23811,04;36190,07;39711,22;11003,48;53302,40;30727,74;20419,55;11103,16;28147,52;57124,40;57665,92;60603,99;27510,53;51975,89;57561,76;60247,83;24027,88;44517,18;94075,53;58431,90;6353,80;19945,82;17668,59;21602,02;3042,52;5085,84;31632,91;18753,54;15599,82;19392,45;24173,25;39464,65;34570,18;40593,52;13732,79;27471,67;4326,06;37239,77;27735,85;21938,82;1021,42;32983,24;25192,26;57272,91;33636,31;3437814,25
"22 Piauí";21454,83;160321,15;149277,62;154922,75;82200,98;22803,14;12033,98;29324,72;22707,78;15888,13;4597,91;9137,28;9414,03;12610,70;12964,68;11790,62;14111,75;10662,88;28007,56;29244,54;13786,06;7250,90;14211,48;17441,70;10262,77;12074,15;13199,78;23152,34;16468,81;31519,04;13578,85;17255,53;16234,09;18436,11;14112,69;13878,60;9054,21;21545,79;9943,55;14226,96;32957,37;34116,12;34141,38;15020,83;13850,42;13433,36;12305,15;36116,37;25967,99;12980,52;20539,94;11118,35;18412,39;11679,90;7013,78;2867,39;7578,14;13347,33;9428,91;3707,45;2083,87;398,66;2319,18;1966,61;1505,46;1492,24;2292,64;621,99;2644,81;1323,65;782,94;6263,68;7885,88;1016,71;1111,22;-;1612,27;398,66;597,99;1839,13;2027,02;3449,72;2077,24;3603,66;1379,02;525,74;-;-;-;-;-;749,64;597,99;406,38;-;435,36;-;239,33;711,28;-;7827,25;16736,31;9014,82;32015,22;6399,72;3472,12;7813,19;6654,16;7986,57;1697,65;-;-;-;-;720,81;-;-;578,03;199,33;-;-;-;-;-;-;-;-;242,10;-;-;-;1636,84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1615047,62
"23 Ceará";189108,13;357078,44;373238,50;453762,05;286762,85;345839,54;216813,64;172702,70;187985,53;126426,74;157396,69;189857,49;109817,19;198338,47;279306,59;189264,16;142809,17;151727,26;225949,26;203578,08;180964,86;201734,94;235601,19;175757,84;146206,72;329873,07;390425,31;436318,70;401249,37;563595,86;410545,42;453463,64;489803,83;404808,30;492836,08;295720,76;379056,08;363528,32;559126,65;396752,06;403221,43;467550,90;703123,80;642064,23;716102,80;697178,47;539522,85;663441,85;620582,75;489737,16;534726,93;758883,49;762656,17;828318,46;614019,03;458388,89;458898,26;270469,22;305194,73;199163,16;441089,03;315176,82;344941,51;488763,62;352404,49;275709,89;410029,67;324340,10;487053,86;602905,67;641798,03;986472,08;1196723,90;849460,27;996060,83;864071,48;1283221,02;965914,64;1059941,00;985103,07;946778,26;994530,64;899057,00;957263,56;845257,11;1071478,68;843856,65;729854,28;774993,73;848705,80;822252,69;892395,31;840070,15;1017967,32;929819,54;837756,19;929788,24;988228,97;1048172,32;1003360,85;973657,65;853466,81;972726,98;1054184,57;1103951,78;935682,53;1183886,82;1002933,27;889033,78;1088832,18;803164,60;588165,67;878444,79;818150,77;810027,59;947153,09;716573,33;726906,47;881687,38;708754,10;558722,71;633851,00;766438,74;767295,78;836115,97;840046,51;1101385,45;873348,28;1010094,62;989774,01;936809,27;944260,10;790712,12;963678,70;857043,80;1030389,62;962156,54;917107,18;975950,36;761939,44;1026906,75;877241,62;959930,43;878607,32;889567,76;779401,61;899227,63;820261,25;588677,32;907197,97;756460,99;693569,48;931704,17;1228878,03;933672,69;1298364,46;1265791,95;1115914,87;1209830,43;108606855,42
